,static,dynamic,moving,,,
,0,100,100,,,
,3,100,100,,,
,0,100,73,,,
,0,41,100,,,
,0,0,100,,,
,0,8,78,,,
,0,7,50,,,
,0,7,11,,,
,0,13,75,,,
,0,0,18,,,
,0,0,47,,,
,0,0,1,,,
,0,0,0,,,
,0,0,0,,,
,1,0,47,,,
,0,0,14,,,
,0,0,92,,,
,3,0,78,,,
,0,0,47,,,
,0,0,40,,,
,0,0,27,,,
,0,0,9,,,
,0,1,100,,,
,0,0,49,,,
,0,0,88,,,
,0,0,90,,,
,0,0,17,,,
,0,0,0,,,
,1,0,0,,,
,0,0,62,,,
,0,0,2,,,
,0,0,10,,,
,0,0,12,,,
,0,0,79,,,
,0,0,100,,,
,0,0,66,,,
,0,0,48,,,
,0,0,18,,,
,0,0,100,,,
,0,0,97,,,
,0,0,100,,,
,0,0,21,,,
,0,0,7,,,
,0,0,26,,,
,0,100,19,,,
,0,100,17,,,
,0,100,82,,,
,0,96,61,,,
,0,14,100,,,
,0,1,88,,,
,0,0,95,,,
,0,0,71,,,
,0,4,83,,,
,0,0,88,,,
,0,2,95,,,
,0,14,70,,,
,0,2,100,,,
,0,2,84,,,
,0,8,100,,,
,0,9,100,,,
,0,1,89,,,
,0,1,60,,,
,0,7,100,,,
,0,0,100,,,
,0,0,100,,,
,0,0,100,,,
,0,4,100,,,
,0,17,100,,,
,0,26,100,,,
,0,100,95,,,
,0,58,100,,,
,0,26,41,,,
,0,16,28,,,
,0,0,54,,,
,0,50,90,,,
,0,42,68,,,
,0,45,71,,,
,0,0,59,,,
,0,67,71,,,
,0,51,78,,,
,0,0,68,,,
,0,42,65,,,
,0,7,88,,,
,0,13,72,,,
,0,97,69,,,
,0,47,66,,,
,0,100,94,,,
,0,0,82,,,
,0,0,75,,,
,0,72,88,,,
,0,100,70,,,
,0,52,58,,,
,0,1,86,,,
,0,53,100,,,
,0,99,88,,,
,0,73,68,,,
,0,100,63,,,
,0,3,64,,,
,0,41,61,,,
,0,36,73,,,
,0,66,71,,,
,0,45,78,,,
,0,76,65,,,
,0,100,63,,,
,0,100,53,,,
,0,57,57,,,
,0,4,65,,,
,0,30,66,,,
,0,98,69,,,
,0,100,60,,,
,0,36,69,,,
,0,54,53,,,
,0,0,50,,,
,0,8,62,,,
,0,4,57,,,
,0,17,63,,,
,0,76,54,,,
,0,50,70,,,
,0,6,74,,,
,0,1,77,,,
,0,100,33,,,
,0,52,21,,,
,0,0,0,,,
,0,27,10,,,
,0,4,52,,,
,0,8,45,,,
,0,10,78,,,
,0,5,100,,,
,2,0,73,,,
,0,5,80,,,
,8,100,84,,,
,0,20,100,,,
,5,0,100,,,
,0,87,78,,,
,0,0,78,,,
,0,0,71,,,
,0,17,64,,,
,0,18,88,,,
,0,7,100,,,
,0,0,87,,,
,0,0,73,,,
,0,5,72,,,
,0,7,86,,,
,0,37,69,,,
,0,5,100,,,
,0,0,82,,,
,0,0,66,,,
,0,0,43,,,
,0,0,39,,,
,0,7,57,,,
,0,0,80,,,
,0,17,92,,,
,0,0,79,,,
,0,0,74,,,
,0,0,82,,,
,0,0,73,,,
,0,0,100,,,
,0,99,85,,,
,0,2,73,,,
,0,0,74,,,
,0,0,85,,,
,0,0,68,,,
,0,0,75,,,
,0,0,98,,,
,0,0,89,,,
,0,30,52,,,
,0,0,89,,,
,0,6,81,,,
,0,0,75,,,
,0,0,53,,,
,0,14,65,,,
,0,0,95,,,
,0,0,93,,,
,0,0,53,,,
,0,0,64,,,
,0,0,65,,,
,0,0,69,,,
,0,0,84,,,
,0,0,86,,,
,0,0,92,,,
,0,0,98,,,
,0,17,82,,,
,0,21,94,,,
,0,4,76,,,
,0,0,54,,,
,0,0,59,,,
,0,7,92,,,
,0,43,100,,,
,0,72,92,,,
,0,66,68,,,
,0,37,95,,,
,0,56,74,,,
,0,16,87,,,
,0,33,85,,,
,0,96,84,,,
,0,11,89,,,
,0,14,93,,,
,0,9,75,,,
,0,44,61,,,
,0,18,61,,,
,0,0,60,,,
,0,0,63,,,
,0,10,74,,,
,0,81,95,,,
,0,26,94,,,
,0,38,84,,,
,0,6,60,,,
,0,13,81,,,
,0,16,91,,,
,0,18,80,,,
,0,8,91,,,
,0,7,68,,,
,0,0,85,,,
,0,0,82,,,
,0,0,91,,,
,0,0,73,,,
,0,1,78,,,
,0,0,83,,,
,0,28,69,,,
,0,34,85,,,
,0,1,72,,,
,0,0,41,,,
,0,4,62,,,
,0,28,71,,,
,0,5,83,,,
,0,0,59,,,
,0,0,77,,,
,0,31,65,,,
,0,22,70,,,
,0,43,84,,,
,0,65,73,,,
,0,18,81,,,
,0,70,74,,,
,0,4,70,,,
,0,23,68,,,
,0,70,91,,,
,0,15,62,,,
,0,5,73,,,
,0,37,61,,,
,0,9,69,,,
,0,7,84,,,
,0,0,68,,,
,0,0,80,,,
,0,16,80,,,
,0,60,59,,,
,0,1,67,,,
,0,9,91,,,
,0,100,83,,,
,0,100,75,,,
,0,100,66,,,
,0,0,83,,,
,0,0,68,,,
,0,24,73,,,
,0,0,86,,,
,0,0,67,,,
,0,4,67,,,
,0,12,59,,,
,0,5,79,,,
,0,0,77,,,
,0,0,63,,,
,14,1,74,,,
,4,0,59,,,
,0,12,65,,,
,10,13,79,,,
,0,0,63,,,
,0,10,67,,,
,0,18,89,,,
,0,43,68,,,
,0,7,90,,,
,0,0,95,,,
,0,8,89,,,
,0,29,90,,,
,0,31,85,,,
,0,0,70,,,
,0,0,76,,,
,0,52,93,,,
,0,12,90,,,
,0,0,84,,,
,0,2,86,,,
,0,0,63,,,
,0,59,89,,,
,0,21,88,,,
,0,28,98,,,
,0,30,79,,,
,0,56,80,,,
,0,32,92,,,
,0,55,75,,,
,0,0,74,,,
,0,52,97,,,
,0,0,73,,,
,0,0,80,,,
,0,2,88,,,
,0,100,65,,,
,0,94,77,,,
,0,0,89,,,
,0,0,71,,,
,0,1,100,,,
,0,66,94,,,
,0,0,97,,,
,0,16,94,,,
,0,0,87,,,
,0,6,100,,,
,0,0,100,,,
,0,0,100,,,
,0,8,100,,,
,0,20,71,,,
,0,29,71,,,
,0,45,87,,,
,0,12,100,,,
,0,10,98,,,
,0,61,95,,,
,0,14,94,,,
,0,92,89,,,
,0,13,74,,,
,0,11,67,,,
,0,77,100,,,
,0,8,21,,,
,0,9,61,,,
,0,1,72,,,
,0,0,71,,,
,0,0,11,,,
,0,0,0,,,
,0,0,0,,,
,0,0,49,,,
,0,2,68,,,
,0,9,100,,,
,0,20,73,,,
,0,100,47,,,
,0,33,50,,,
,0,2,34,,,
,0,2,12,,,
,0,6,12,,,
,0,34,0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,